,plot_area(m^2)_x,crops_in_plot,total_harvested,crop_proportion,npk_20-10-10,kcl/mop,Kigali,South,Gasabo,Gatsibo,Gisagara,Huye,Kayonza,Kirehe,Nyagatare,Rusizi,Rwamagana,Mixed,Bush bean,Cooking banana,Dessert banana,Paddy rice,Both(Trad and Improved,Improved seeds,quanitiy_harvested_(kg)
160,15530.548999999999,1.0,59600.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28800.0
161,3899.3738,1.0,3000.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
162,1743.8434,2.0,29.0,0.70000005,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,29.0
163,36295.387,4.0,2090.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
164,124758.76,1.0,14933.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11933.0
165,641.29755,1.0,35.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
166,15894.007,2.0,425.0,0.049999997000000004,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,340.0
167,13319.4795,2.0,1500.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1500.0
168,90028.16,1.0,248.0,0.2,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248.0
169,9076.009,1.0,129.0,0.25,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,129.0
170,199708.31,1.0,232000.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166000.0
171,258674.72,1.0,440000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440000.0
172,39101.76,2.0,13200.0,0.6,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6600.0
173,40290.094,1.0,20800.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19200.0
174,289484.6,1.0,66180.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66180.0
175,16068.403,2.0,408.0,0.75000006,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,408.0
176,29285.654,2.0,305.0,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,305.0
177,828.36835,1.0,30.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
178,19159.928,3.0,14080.0,0.6315789,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14080.0
179,22744.992000000002,4.0,1900.0,0.29999998,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1800.0
